route_name,start,finish,middle,dir,bayes,min_speed,bayes_raw_speeds,multi_level,city,adjust_low
A6 - Padstow to Carlingford,"151.035626, -33.939620","151.052796, -33.780015",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A9 - Nelson St to Port Wakefield Rd,"138.502743, -34.837744","138.59698, -34.81202",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A9 - Port Wakefield Rd to Nelson St,"138.59707, -34.81210","138.50315, -34.83805",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
M1 - Bruce Hwy to Pacific Motorway,"153.01953, -27.30308","153.10345, -27.58104",NA,NA,FALSE,NA,FALSE,FALSE,Brisbane,FALSE
M1 - Pacific Motorway to Bruce Hwy,"153.10437, -27.57957","153.01928, -27.30322",NA,NA,FALSE,NA,FALSE,FALSE,Brisbane,FALSE
M1 (East) - City to M420,"144.93169, -37.82618","145.24734, -37.98403",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
M1 (East) - M420 to City,"145.24831, -37.98520","144.93144, -37.82647",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
M1 (North) - Cahill Expressway to M2,"151.21398, -33.86609","151.19170, -33.81317",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
M1 (North) - M2 to Cahill Expressway,"151.19195, -33.81287","151.21416, -33.86603",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
M1 (South) - Cahill Expressway to M5,"151.21416, -33.86603","151.17346, -33.94610",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
M1 (South) - M5 to Cahill Expressway,"151.17434, -33.94594","151.21398, -33.86609",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
M1 (West) - City to M80,"144.92429, -37.82789","144.826568, -37.82575",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
M1 (West) - M80 to City,"144.82634, -37.82555","144.92361, -37.82786",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
